SKU_ID,SKU_Name,Category,Sub_Category,Brand,Tax_Percent,Unit_Cost,MRP
SKU00001,Snackify Biscuits 500g,Snacks,Biscuits,Snackify,12,55.38,99
SKU00002,FreshCo Paneer 250g,Dairy,Paneer,FreshCo,5,43.66,59.06
SKU00003,DailyDairy Edible Oil 500g,Groceries,Edible Oil,DailyDairy,5,76.77,105.78
SKU00004,Snackify Butter 1kg,Dairy,Butter,Snackify,5,144.24,259.33
SKU00005,BabyBloom Detergent 750ml,Home Care,Detergent,BabyBloom,18,112.73,175.81
SKU00006,FreshCo Edible Oil 1L,Groceries,Edible Oil,FreshCo,5,106.31,183.27
SKU00007,HealthHub Edible Oil 750ml,Groceries,Edible Oil,HealthHub,5,64.06,92.95
SKU00008,Nestora Atta 2L,Groceries,Atta,Nestora,5,109.6,154.48
SKU00009,Snackify Toothpaste 200ml,Personal Care,Toothpaste,Snackify,18,83.27,144.16
SKU00010,CleanPro Paneer 2L,Dairy,Paneer,CleanPro,5,203.4,277.37
SKU00011,HealthHub Shampoo Combo,Personal Care,Shampoo,HealthHub,18,84.96,118.6
SKU00012,FreshCo Floor Cleaner 2L,Home Care,Floor Cleaner,FreshCo,18,74.35,108
SKU00013,Nestora Paneer Combo,Dairy,Paneer,Nestora,5,26.31,37.74
SKU00014,BabyBloom Freshener 750ml,Home Care,Freshener,BabyBloom,18,146.87,197.04
SKU00015,HealthHub Chocolate Pack,Snacks,Chocolate,HealthHub,12,57.39,80.88
SKU00016,DailyDairy Namkeen 200ml,Snacks,Namkeen,DailyDairy,12,22.59,30.39
SKU00017,HealthHub Detergent 100g,Home Care,Detergent,HealthHub,18,108.31,167.12
SKU00018,FrostBite Baby Food 100g,Baby Care,Baby Food,FrostBite,5,31.81,51.91
SKU00019,BabyBloom Milk 750ml,Dairy,Milk,BabyBloom,5,184.25,282.57
SKU00020,UrbanLeaf Toothpaste Pack,Personal Care,Toothpaste,UrbanLeaf,18,130.19,167.8
SKU00021,FreshCo Ice Cream 2L,Frozen,Ice Cream,FreshCo,18,67.8,106.76
SKU00022,AquaFizz Namkeen Combo,Snacks,Namkeen,AquaFizz,12,21.64,35.54
SKU00023,FrostBite Powder 1kg,Baby Care,Powder,FrostBite,5,20.18,27.19
SKU00024,FrostBite Cheese 1kg,Dairy,Cheese,FrostBite,5,91.57,138.86
SKU00025,HealthHub Pulses Pack,Groceries,Pulses,HealthHub,5,53.08,94.69
SKU00026,AquaFizz Soft Drink 500g,Beverages,Soft Drink,AquaFizz,12,82.04,139.87
SKU00027,UrbanLeaf Baby Food Combo,Baby Care,Baby Food,UrbanLeaf,5,90.58,135.94
SKU00028,Nestora Butter 1L,Dairy,Butter,Nestora,5,26.63,37.08
SKU00029,DailyDairy Coffee 750ml,Beverages,Coffee,DailyDairy,12,106.07,141.94
SKU00030,FreshCo Ready Meals 200ml,Frozen,Ready Meals,FreshCo,18,71.89,91.67
SKU00031,BabyBloom Baby Lotion 100g,Baby Care,Baby Lotion,BabyBloom,5,159.21,219.54
SKU00032,BabyBloom Skin Care 100g,Personal Care,Skin Care,BabyBloom,18,59.38,90.17
SKU00033,Snackify Frozen Snacks 1L,Frozen,Frozen Snacks,Snackify,18,18.73,28.55
SKU00034,UrbanLeaf Shampoo 200ml,Personal Care,Shampoo,UrbanLeaf,18,58.76,79.03
SKU00035,Nestora Dishwash Pack,Home Care,Dishwash,Nestora,18,40.46,60.69
SKU00036,CleanPro Toothpaste 500g,Personal Care,Toothpaste,CleanPro,18,62.34,93.05
